Nombre;Equipo;Tiros;Tiros P.;Asis.;Reg. E.;Reg. F.;Goles;G. Ar.;G. F. Ar.;G. Iz.;G. Der.;G. Pen.;G. Cab.;G. B.P.;G.P.P.
Eloi Amagat;GIR;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Emiliano Martínez;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Emre Mor;CEL;10;5;2;44;22;1;1;0;1;0;0;0;0;0
Emre Çolak;DEP;15;8;1;33;15;1;1;0;1;0;0;0;0;0
Enes Ünal;VIL;39;23;3;9;18;6;6;0;3;0;0;2;0;0
Enis Bardhi;LEV;27;13;1;23;18;9;3;6;1;7;0;0;5;0
Eraso;LEG;24;13;3;10;12;4;4;0;0;2;0;1;0;0
Erick Cabaco;LEV;2;2;0;2;2;0;0;0;0;0;0;0;0;0
Erik Exposito;LPA;7;2;0;5;3;1;1;0;1;0;0;0;0;0
Escalante;EIB;17;5;0;15;6;1;1;0;0;0;0;1;0;0
Escudero;SEV;13;4;2;26;12;0;0;0;0;0;0;0;0;0
Etebo;LPA;13;3;1;25;6;0;0;0;0;0;0;0;0;0
Etxeita;ATH;4;1;0;0;0;1;1;0;0;1;0;0;0;0
Ezequiel Garay;VAL;5;1;0;0;0;0;0;0;0;0;0;0;0;0
Fabian Schär;DEP;17;6;2;14;6;2;2;0;0;2;0;0;0;0
Fabián;BET;27;17;6;69;22;3;0;3;3;0;0;0;0;0
Facundo Roncaglia;CEL;5;1;0;9;0;0;0;0;0;0;0;0;0;0
Fahad Al-Muwallad;LEV;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Fajr ;GET;17;10;4;19;8;1;0;1;0;0;0;0;0;0
Feddal;BET;5;3;0;3;0;3;3;0;0;0;0;3;0;1
Fede Cartabia;DEP;24;9;1;35;17;2;1;1;2;0;0;0;0;0
Fede Valverde;DEP;14;4;0;7;6;0;0;0;0;0;0;0;0;0
Fernando Navarro;DEP;0;0;0;8;0;0;0;0;0;0;0;0;0;0
Fernando Torres;ATM;25;13;0;17;17;5;5;0;1;4;0;0;0;0
Ferrán Torres;VAL;3;2;1;8;2;0;0;0;0;0;0;0;0;0
Filipe Luis;ATM;5;2;2;26;18;1;1;0;0;1;0;0;0;0
Fontàs;CEL;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Francesc Regis;EIB;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Francis Coquelin;VAL;3;3;0;14;4;1;1;0;0;0;0;1;0;0
Franco Vázquez;SEV;42;13;6;32;24;4;3;1;3;0;0;1;0;0
G. Cabral;CEL;7;2;1;1;0;1;1;0;0;0;0;1;0;0
Gabi;ATM;7;1;1;10;5;0;0;0;0;0;0;0;0;0
Gabriel;LEG;33;15;2;49;29;5;5;0;5;0;1;0;0;0
Gabriel;VAL;15;4;0;5;0;0;0;0;0;0;0;0;0;0
Gabriel Mercado;SEV;14;7;1;4;3;0;0;0;0;0;0;0;0;0
Gaku Shibasaki;GET;7;3;0;12;5;1;0;1;1;0;0;0;0;0
Gameiro;ATM;16;14;2;9;6;7;7;0;1;6;2;0;0;0
Ganso;SEV;6;3;0;4;4;2;2;0;1;0;0;0;0;0
Gayá;VAL;11;3;3;38;24;0;0;0;0;0;0;0;0;0
Gerard;DEP;1;0;0;2;2;0;0;0;0;0;0;0;0;0
Gerard;ESP;85;48;1;63;50;16;15;1;12;3;1;1;0;0
Giménez;ATM;12;2;1;6;2;1;1;0;0;0;0;1;0;0
Godín;ATM;12;5;0;6;1;0;0;0;0;0;0;0;0;0
Gonçalo Guedes;VAL;42;22;9;81;48;5;3;2;0;2;0;0;0;0
Granell;GIR;32;8;7;48;8;1;0;1;1;0;0;0;0;0
Granero;ESP;12;2;2;9;8;1;0;1;0;1;0;0;1;0
Griezmann;ATM;61;40;9;28;18;19;17;2;12;5;2;1;1;0
Guaita;GET;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guardado;BET;30;9;8;22;11;2;1;1;2;0;1;0;1;0
Guidetti;ALA;29;14;3;8;4;3;2;1;1;2;0;0;0;0
Guido Pizarro;SEV;9;4;0;21;10;1;1;0;0;0;0;1;0;0
Guilherme ;DEP;29;2;0;26;9;0;0;0;0;0;0;0;0;1
Guillermo Maripán;ALA;3;1;0;10;1;0;0;0;0;0;0;0;0;0
Gumbau;LEG;12;6;0;6;1;1;0;1;1;0;0;0;0;0
Gálvez;LPA;16;5;0;10;2;1;1;0;0;0;0;1;0;0
H.Moreno;RSO;8;4;0;0;0;1;1;0;1;0;0;0;0;0
Halilović;LPA;29;15;1;31;19;2;1;1;2;0;0;0;0;0
Hermoso;ESP;10;4;0;5;3;1;1;0;0;0;0;1;0;2
Hernán;LPA;4;2;0;0;0;0;0;0;0;0;0;0;0;0
Hernán Pérez;ALA;6;2;0;12;16;0;0;0;0;0;0;0;0;0
Hernán Toledo;LPA;1;1;1;26;22;0;0;0;0;0;0;0;0;0
Hugo Mallo;CEL;18;8;5;19;15;0;0;0;0;0;0;0;0;0
Héctor;ALA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I. Martínez;ATH;14;5;1;11;2;1;1;0;0;0;0;1;0;0
Iago Aspas;CEL;72;44;5;58;34;22;21;1;13;6;2;1;1;0
Iago Herrerín;ATH;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ibai;ALA;39;24;6;38;42;7;5;2;1;6;1;0;0;0
Ideye;MGA;9;3;0;5;7;1;1;0;0;1;0;0;0;0
Igor Zubeldia;RSO;12;3;2;9;1;1;1;0;0;1;0;0;0;0
Illarramendi;RSO;26;11;5;30;9;7;5;2;1;4;0;0;1;0
Imoh Ezekiel;LPA;5;3;0;7;6;0;0;0;0;0;0;0;0;0
Iniesta;BAR;13;6;2;63;14;1;1;0;1;0;0;0;0;0
Inui;EIB;43;21;2;40;47;5;4;1;2;3;0;0;0;0
Iraizoz;GIR;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Isco;RMA;32;20;7;58;25;7;6;1;1;6;0;0;1;0
Iturra;MGA;2;1;0;19;7;0;0;0;0;0;0;0;0;0
Iturraspe;ATH;5;1;0;5;1;0;0;0;0;0;0;0;0;0
Ivi;LEV;27;10;3;33;31;4;3;1;0;2;1;0;0;0
Iván Alejo;EIB;9;3;3;33;39;1;0;1;0;1;0;0;0;0
Iván López;LEV;1;0;1;4;0;0;0;0;0;0;0;0;0;0
Iñigo Lekue;ATH;14;5;1;43;32;0;0;0;0;0;0;0;0;0
J. Costa;VIL;9;3;0;26;12;0;0;0;0;0;0;0;0;0
J. Naranjo;LEG;8;3;0;6;12;1;1;0;0;1;0;0;0;0
J. Ontiveros;MGA;6;3;0;14;18;0;0;0;0;0;0;0;0;0
Jaime Sierra;LEG;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jairo;LPA;6;1;0;10;6;0;0;0;0;0;0;0;0;0
Jason;LEV;23;10;2;25;46;1;1;0;1;0;0;0;0;0
Jasper Cillessen;BAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jaume;VAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Javi Castellano;LPA;3;2;0;7;5;0;0;0;0;0;0;0;0;0
Javi Fuego;VIL;4;2;0;5;3;0;0;0;0;0;0;0;0;0
Javi García;BET;7;1;0;13;4;1;1;0;0;1;0;0;0;0
Javi López;ESP;2;0;0;7;7;0;0;0;0;0;0;0;0;0
Jefferson Lerma;LEV;18;1;1;19;3;0;0;0;0;0;0;0;0;0
Jesús Navas;SEV;16;5;0;16;12;1;0;1;0;0;0;0;0;0
Jesús Vallejo;RMA;0;0;0;5;1;0;0;0;0;0;0;0;0;0
Joan Jordán;EIB;30;17;4;42;22;6;5;1;2;3;1;1;0;0
Joaquín;BET;27;14;7;64;29;4;3;1;0;3;0;1;0;0
Johannes Geis;SEV;5;1;1;0;2;0;0;0;0;0;0;0;0;0
