"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"398","Ronaldo","RMA",2292,1,26,40,18,19,34,4,7,188,125,63,732,705,22,5,140,77,5,31,20,51,4,3,56,69,34,29,0.55,51,0.607843137254902,1
"400","Rubén Blanco","CEL",1942,3,0,0,0,1,0,0,0,9,3,6,736,277,459,0,0,0,0,0,0,157,0,0,0,3,6,0,0,0,0,1
"403","Rubén Peña","EIB",1727,1,1,5,18,15,70,0,41,187,151,36,726,601,125,0,9,2,0,20,20,130,28,13,78,73,15,21,0.222222222222222,40,0.5,0
"404","Rubén Pérez J.","LEG",2520,13,0,0,47,44,2,0,99,357,290,67,1489,1159,325,5,13,1,0,27,8,311,61,38,171,119,40,27,0.0769230769230769,35,0.771428571428571,1
"406","Rubén","DEP",2477,3,0,0,5,0,0,0,1,14,7,7,602,157,445,0,0,0,0,0,0,207,0,1,5,2,6,1,0,0,0,1
"407","Rukavina","VIL",1269,5,0,0,3,18,27,0,25,77,57,20,464,407,56,1,2,0,0,1,2,59,22,3,29,28,9,11,0,3,0.333333333333333,0
"408","Rulli","RSO",2340,3,0,0,2,1,0,0,2,11,9,2,996,545,451,0,0,0,0,0,0,210,1,1,3,6,2,0,0,0,0,1
"409","Ryad Boudebouz","BET",1361,2,2,1,17,21,31,23,32,208,180,28,803,740,59,4,14,12,3,38,26,65,18,14,87,93,6,22,0.857142857142857,64,0.59375,0
"410","S. Asenjo ","VIL",2070,3,0,0,3,2,0,0,2,20,10,10,535,149,386,0,0,0,0,1,0,208,2,0,4,6,9,1,0,1,1,1
"411","S. Castillejo","VIL",2083,4,6,7,66,42,52,73,40,404,346,58,885,812,66,7,41,19,5,47,59,121,28,12,153,193,15,43,0.463414634146341,106,0.443396226415094,1
"412","S. García","ESP",1629,4,2,13,35,18,19,0,15,224,173,51,427,400,26,1,33,17,6,22,25,65,12,3,71,102,17,34,0.515151515151515,47,0.468085106382979,0
"415","Saborit","ATH",1429,5,0,1,13,20,36,0,50,137,104,33,527,460,67,0,5,2,1,3,4,86,27,23,66,38,22,11,0.4,7,0.428571428571429,0
"418","Samuel Umtiti","BAR",2189,7,1,4,25,22,0,0,50,187,119,68,1618,1495,123,0,8,5,0,8,3,141,35,15,83,36,46,22,0.625,11,0.727272727272727,1
"420","San José","ATH",2156,5,1,0,8,39,11,0,52,328,202,126,1010,899,104,7,17,5,1,20,12,151,37,15,79,123,68,58,0.294117647058824,32,0.625,1
"421","Sanabria","BET",847,0,8,8,15,12,2,0,8,116,57,59,170,166,4,0,22,13,0,6,5,20,8,0,29,28,23,36,0.590909090909091,11,0.545454545454545,0
"422","Sandro","SEV",715,0,0,5,22,17,8,10,8,99,86,13,237,227,9,1,20,10,1,10,10,25,8,0,40,46,4,9,0.5,20,0.5,0
"424","Santi Mina","VAL",1549,4,12,11,36,24,6,0,17,259,165,94,466,441,23,2,33,20,2,19,9,50,9,8,70,95,37,57,0.606060606060606,28,0.678571428571429,0
"425","Saša Lukic","LEV",996,4,0,0,15,24,5,0,21,129,103,26,337,306,29,2,2,1,1,15,6,60,16,5,51,52,12,14,0.5,21,0.714285714285714,0
"426","Saúl","ATM",3157,9,2,5,35,67,19,0,132,593,416,177,1690,1571,115,4,39,9,3,59,37,237,90,42,225,191,76,101,0.230769230769231,96,0.614583333333333,1
"427","Savic","ATM",2299,6,0,0,8,24,3,0,30,155,88,67,988,776,212,0,1,1,0,4,0,115,20,10,42,46,46,21,1,4,1,1
"429","Sergi Enrich","EIB",1330,2,3,20,28,20,5,0,11,245,97,148,420,402,18,0,26,11,1,4,3,58,8,3,43,54,64,84,0.423076923076923,7,0.571428571428571,0
"430","Sergi Gómez","CEL",2682,3,1,2,6,14,3,0,52,187,88,99,1652,1419,232,1,11,2,0,1,2,135,37,15,59,29,63,36,0.181818181818182,3,0.333333333333333,1
"431","Sergi Roberto","BAR",2224,3,1,1,26,16,34,0,63,256,219,37,1617,1544,70,3,7,4,7,54,22,150,40,23,143,76,14,23,0.571428571428571,76,0.710526315789474,1
"432","Sergio A.","CEL",1475,0,0,0,5,0,0,0,0,13,4,9,575,253,322,0,0,0,0,1,0,123,0,0,3,1,8,1,0,1,1,0
"433","Sergio León","BET",1981,5,11,11,39,25,8,1,13,240,163,77,369,336,31,2,46,28,1,20,24,44,7,6,68,95,26,51,0.608695652173913,44,0.454545454545455,1
"434","Sergio Mora","GET",799,5,0,0,6,15,4,0,21,89,62,27,395,357,38,0,4,0,0,0,1,55,15,6,27,35,12,15,0,1,0,0
"435","Sergio Ramos","RMA",2290,7,4,6,20,37,9,0,40,246,111,135,1887,1648,234,5,27,14,1,9,2,195,29,11,68,43,85,50,0.518518518518518,11,0.818181818181818,1
"436","Sergio Rico","SEV",2155,2,0,0,3,1,0,0,1,19,5,14,549,209,340,0,0,0,0,0,0,186,1,0,2,3,13,1,0,0,0,1
"437","Sergio","BAR",2600,8,1,0,58,36,0,0,86,341,263,78,2241,2053,182,6,4,4,4,18,5,211,47,39,162,101,51,27,1,23,0.782608695652174,1
"438","Sidnei","DEP",1779,4,1,0,11,12,4,0,41,162,93,69,764,622,140,2,7,2,1,16,5,139,28,13,66,27,40,29,0.285714285714286,21,0.761904761904762,0
"439","Simon Kjaer","SEV",1571,3,2,0,9,18,1,0,35,136,67,69,788,680,108,0,7,2,0,1,0,69,24,11,44,23,44,25,0.285714285714286,1,1,0
"440","Simone Zaza","VAL",2078,8,13,16,32,41,9,0,21,353,193,160,451,424,24,3,57,24,1,13,35,43,14,7,63,130,77,83,0.421052631578947,48,0.270833333333333,1
"441","Siovas","LEG",2061,8,1,2,15,28,2,0,48,213,116,97,729,584,145,0,14,2,1,8,4,169,33,15,67,49,66,31,0.142857142857143,12,0.666666666666667,1
"442","Sisto","CEL",2534,2,5,10,74,15,64,26,18,360,344,16,980,877,97,6,39,19,9,75,56,156,12,6,167,177,1,15,0.487179487179487,131,0.572519083969466,1
"444","Sobrino","ALA",1461,5,3,6,32,37,13,0,33,319,190,129,389,377,12,0,23,13,2,25,14,76,24,9,85,105,59,70,0.565217391304348,39,0.641025641025641,0
"445","Stuani","GIR",2722,8,21,22,67,88,4,0,22,499,239,260,493,479,13,1,64,37,0,15,12,72,14,8,97,142,119,141,0.578125,27,0.555555555555556,1
"448","Susaeta","ATH",2268,2,3,10,50,20,74,86,42,312,278,34,848,779,67,2,18,12,2,37,35,142,29,13,128,150,10,24,0.666666666666667,72,0.513888888888889,1
"449","Szymanowski","LEG",1064,1,2,8,18,19,30,12,14,100,92,8,270,260,10,0,15,6,2,7,10,56,11,3,39,53,2,6,0.4,17,0.411764705882353,0
"450","T. Pina","ALA",2392,8,1,1,29,72,6,0,71,341,231,110,969,881,86,2,8,3,0,19,3,200,49,22,115,116,49,61,0.375,22,0.863636363636364,1
"451","Tana","LPA",1553,2,1,0,36,11,18,39,30,201,179,22,772,736,33,3,10,6,1,19,18,92,24,6,85,94,2,20,0.6,37,0.513513513513513,0
"452","Tello","BET",1684,2,4,10,20,14,20,5,32,187,177,10,683,644,34,5,27,16,3,42,20,108,24,8,94,83,5,5,0.592592592592593,62,0.67741935483871,0
"453","Ter Stegen","BAR",3330,0,0,0,1,0,0,0,1,7,4,3,1110,667,443,0,0,0,0,1,0,284,0,1,2,2,3,0,0,1,1,1
"454","Theo Hernández","RMA",961,1,0,1,15,11,30,0,21,133,120,13,551,534,16,1,2,2,0,22,18,68,15,6,58,62,10,3,1,40,0.55,0
"455","Thomas","ATM",2379,6,3,0,35,40,15,5,95,368,279,89,1378,1222,151,5,18,3,0,45,8,216,65,30,175,104,51,38,0.166666666666667,53,0.849056603773585,1
"456","Timor","GIR",922,8,2,0,10,16,3,0,17,99,62,37,464,387,77,0,9,5,0,1,2,65,10,7,26,36,24,13,0.555555555555556,3,0.333333333333333,0
"458","Toni Kroos","RMA",2267,4,5,2,38,21,48,132,55,215,197,18,2070,1871,190,9,31,17,7,24,8,151,35,20,117,80,11,7,0.548387096774194,32,0.75,1
"460","Toño","LEV",1080,2,0,0,8,6,43,0,12,78,70,8,425,349,74,2,1,1,1,24,7,56,11,1,44,26,2,6,1,31,0.774193548387097,0
"462","Unai Núñez","ATH",2942,11,1,0,24,42,3,0,73,303,186,117,1465,1148,316,1,19,2,0,17,3,172,52,21,110,76,74,43,0.105263157894737,20,0.85,1
"463","Varane","RMA",2323,2,0,0,12,19,1,0,28,157,79,78,1330,1183,147,0,9,2,1,9,2,144,19,9,48,31,50,28,0.222222222222222,11,0.818181818181818,1
"464","Vermaelen","BAR",1018,3,0,1,3,9,2,0,13,63,33,30,644,576,67,1,3,2,1,1,1,57,9,4,16,17,19,11,0.666666666666667,2,0.5,0
"465","Vesga","ATH",807,6,1,0,11,16,9,5,17,134,92,42,389,358,31,0,6,4,1,7,3,65,8,9,34,58,22,20,0.666666666666667,10,0.7,0
"466","Vezo","VAL",1554,1,0,1,13,23,15,0,43,176,118,58,715,627,88,0,2,1,0,11,6,94,24,19,66,52,40,18,0.5,17,0.647058823529412,0
"467","Vicente Gómez","LPA",1525,3,0,0,29,22,10,0,21,184,126,58,877,838,37,2,8,0,0,7,6,64,13,8,56,70,33,25,0,13,0.538461538461538,0
"469","Víctor Ruiz","VIL",2417,9,2,0,6,28,2,0,33,186,85,101,1420,1199,219,2,5,2,1,5,1,159,22,11,44,41,59,42,0.4,6,0.833333333333333,1
"470","Víctor S.","ESP",2463,13,0,0,50,72,58,9,105,403,322,81,1179,975,204,0,11,1,2,11,8,146,71,34,162,160,53,28,0.0909090909090909,19,0.578947368421053,1
"471","Viera","LPA",1994,4,4,3,69,21,24,41,36,328,299,29,1477,1380,76,21,32,16,3,64,34,101,25,11,168,131,9,20,0.5,98,0.653061224489796,1
"472","Vietto ","VAL",795,2,2,8,14,9,7,0,13,100,88,12,274,264,9,1,10,4,1,8,16,39,10,3,35,53,4,8,0.4,24,0.333333333333333,0
"473","Vigaray","ALA",893,6,0,0,13,18,17,0,27,91,78,13,240,200,39,1,4,1,0,3,7,48,16,11,43,35,6,7,0.25,10,0.3,0
"474","Vitolo","ATM",1309,1,2,5,51,24,9,1,24,229,197,32,644,628,16,0,13,6,2,34,16,78,18,6,108,89,11,21,0.461538461538462,50,0.68,0
"475","Vrsaljko","ATM",1697,6,0,3,12,30,78,3,48,203,137,66,628,559,69,0,3,0,4,11,12,68,30,18,70,67,45,21,0,23,0.478260869565217,0
"476","Wakaso","ALA",1097,7,0,3,22,31,17,4,43,190,154,36,421,331,89,1,7,1,1,17,7,85,30,13,82,72,17,19,0.142857142857143,24,0.708333333333333,0
"477","Wass","CEL",2938,4,4,11,53,26,100,73,30,279,178,101,1485,1366,115,4,41,11,9,11,13,164,21,9,91,87,49,52,0.268292682926829,24,0.458333333333333,1
"478","Williams","ATH",2851,2,7,26,41,31,63,0,28,399,313,86,680,654,22,4,59,26,6,61,60,110,17,11,129,184,39,47,0.440677966101695,121,0.504132231404959,1
"479","Willian José","RSO",2780,4,15,21,53,31,13,2,10,299,185,114,844,762,73,9,67,29,4,18,10,77,7,3,78,107,52,62,0.432835820895522,28,0.642857142857143,1
"480","Xabi Prieto","RSO",1940,1,3,4,32,15,55,12,18,174,111,63,994,958,35,1,15,10,5,20,7,89,14,4,66,45,34,29,0.666666666666667,27,0.740740740740741,1
"481","Ximo","LPA",2606,11,0,0,51,28,11,0,63,277,215,62,1335,1155,179,1,3,1,1,36,6,203,43,20,147,68,32,30,0.333333333333333,42,0.857142857142857,1
"482","Yeray","ATH",675,2,0,0,10,12,1,0,12,69,41,28,456,371,85,0,1,0,0,4,1,66,7,5,25,16,14,14,0,5,0.8,0
"485","Zaldúa","LEG",2560,9,1,2,62,43,78,0,68,336,264,72,857,720,137,0,8,3,0,31,26,122,52,16,159,105,48,24,0.375,57,0.543859649122807,1
"487","Zurutuza","RSO",2248,2,0,1,47,44,6,0,49,286,222,64,1145,1071,69,5,11,3,2,14,8,160,36,13,107,115,33,31,0.272727272727273,22,0.636363636363636,1
