"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"82","Capa","EIB",2247,4,0,6,9,34,95,1,57,237,196,41,1059,880,176,3,4,1,1,34,27,114,38,19,100,96,28,13,0.25,61,0.557377049180328,1
"87","Carlos Sánchez ","ESP",1123,3,0,0,14,24,1,0,25,138,99,39,581,505,76,0,2,0,0,9,1,87,12,13,47,52,27,12,0,10,0.9,0
"88","Carlos Soler","VAL",2374,4,1,1,42,54,51,4,51,295,270,25,942,876,62,4,37,17,4,26,30,135,32,19,118,152,9,16,0.459459459459459,56,0.464285714285714,1
"90","Carvajal","RMA",2223,11,0,3,32,48,90,0,59,264,217,47,1569,1449,116,4,11,6,2,32,14,155,40,19,123,94,19,28,0.545454545454545,46,0.695652173913043,1
"91","Casemiro","RMA",2601,8,5,2,72,59,7,0,109,428,325,103,1747,1541,203,3,26,12,3,11,6,243,78,31,187,138,64,39,0.461538461538462,17,0.647058823529412,1
"92","Celso Borges ","DEP",2306,3,3,4,13,35,18,0,61,373,179,194,1211,1084,126,1,22,8,3,14,3,176,39,22,86,93,118,76,0.363636363636364,17,0.823529411764706,1
"94","Charles","EIB",1580,5,8,11,29,42,7,0,11,253,105,148,413,403,10,0,39,16,1,4,6,54,8,3,42,63,73,75,0.41025641025641,10,0.4,0
"95","Cheik Doukouré","LEV",1020,4,1,0,10,34,4,0,34,145,110,35,314,297,16,1,12,1,0,1,1,71,19,15,45,65,15,20,0.0833333333333333,2,0.5,0
"96","Chema","LEV",2017,8,1,2,13,21,0,0,20,118,66,52,691,507,184,0,7,3,1,1,0,93,13,7,33,33,30,22,0.428571428571429,1,1,1
"97","Chéryshev","VIL",920,2,2,5,14,21,27,1,27,158,130,28,300,281,19,0,25,9,1,16,17,50,15,12,57,73,12,16,0.36,33,0.484848484848485,0
"98","Chichizola","LPA",2430,2,0,0,6,0,0,0,2,31,16,15,961,442,519,0,0,0,0,5,0,292,0,2,12,4,13,2,0,5,1,1
"99","Chory Castro","MGA",2075,4,4,3,28,23,108,33,37,230,190,40,822,722,98,2,22,9,2,28,23,162,24,13,93,97,21,19,0.409090909090909,51,0.549019607843137,1
"102","Clement Lenglet","SEV",3002,9,3,1,23,52,1,0,67,294,179,115,1713,1464,247,2,12,5,1,12,2,164,50,17,101,78,71,44,0.416666666666667,14,0.857142857142857,1
"103","Coke","LEV",1385,4,3,4,12,27,36,0,35,189,144,45,560,488,72,0,10,5,0,19,9,91,23,12,65,79,24,21,0.5,28,0.678571428571429,0
"104","Corchia","SEV",823,4,0,3,22,20,23,0,18,96,80,16,298,270,28,0,5,3,1,5,5,32,13,5,44,36,12,4,0.6,10,0.5,0
"105","Correa","SEV",1198,5,1,5,43,26,7,2,15,230,200,30,460,433,25,2,20,6,1,40,35,65,10,5,95,105,15,15,0.3,75,0.533333333333333,0
"106","Cote","EIB",2430,4,0,1,17,20,185,41,61,234,167,67,1104,783,321,0,11,0,8,27,11,187,44,17,104,63,37,30,0,38,0.710526315789474,1
"107","Coutinho","BAR",1303,1,8,8,32,12,14,52,27,215,204,11,813,777,26,10,28,20,5,45,31,70,14,13,104,100,5,6,0.714285714285714,76,0.592105263157895,0
"108","Cuéllar","LEG",3150,4,0,0,7,0,0,0,4,28,8,20,1028,90,938,0,0,0,0,0,0,336,3,1,7,1,16,4,0,0,0,1
"109","D. Torres","ALA",1218,2,0,0,15,23,2,0,19,116,92,24,506,440,64,2,4,2,0,9,1,88,11,8,43,49,10,14,0.5,10,0.9,0
"110","Dakonam Djené","GET",3239,7,1,1,26,51,10,0,87,350,226,124,971,725,244,2,9,2,0,30,3,245,65,22,142,84,71,53,0.222222222222222,33,0.909090909090909,1
"111","Damián Suárez","GET",2878,14,1,1,41,54,65,45,86,388,333,55,1174,919,250,5,8,5,4,34,49,188,64,22,159,174,23,32,0.625,83,0.409638554216867,1
"112","Dani Castellano","LPA",2027,5,0,4,30,17,39,0,46,232,180,52,841,777,64,0,3,0,2,24,16,109,29,17,100,80,26,26,0,40,0.6,1
"114","Dani García","EIB",2781,14,0,0,25,46,12,1,80,292,222,70,1614,1327,287,0,15,1,1,8,7,235,59,21,112,110,43,27,0.0666666666666667,15,0.533333333333333,1
"116","Dani Parejo","VAL",3005,15,7,2,67,47,40,172,87,402,364,38,2363,2065,291,7,38,21,7,46,14,300,57,30,199,165,17,21,0.552631578947368,60,0.766666666666667,1
"117","Darder","ESP",2788,7,1,0,31,36,26,23,64,281,244,37,1445,1252,186,7,18,8,2,34,14,187,43,21,129,115,16,21,0.444444444444444,48,0.708333333333333,1
