Nombre;Equipo;Bloq.;Inter.;Rec.;Desp.;Ent. E.;Ent. F.;U. H.;Due. E.;Due. F.;Aer. E.;Aer. F.
Sergi Enrich;EIB;1;6;58;7;8;3;0;43;54;64;84
Sergi Gómez;CEL;22;56;135;114;37;15;1;59;29;63;36
Sergi Roberto;BAR;8;39;150;23;40;23;0;143;76;14;23
Sergio;BAR;10;50;211;11;47;39;0;162;101;51;27
Sergio A.;CEL;0;0;123;15;0;0;0;3;1;8;1
Sergio León;BET;1;7;44;4;7;6;0;68;95;26;51
Sergio Mora;GET;2;15;55;11;15;6;0;27;35;12;15
Sergio Ramos;RMA;12;45;195;82;29;11;0;68;43;85;50
Sergio Rico;SEV;0;1;186;23;1;0;0;2;3;13;1
Sidnei;DEP;9;31;139;99;28;13;0;66;27;40;29
Simon Kjaer;SEV;10;32;69;106;24;11;0;44;23;44;25
Simone Zaza;VAL;1;8;43;32;14;7;0;63;130;77;83
Siovas;LEG;12;62;169;86;33;15;1;67;49;66;31
Sisto;CEL;1;12;156;3;12;6;0;167;177;1;15
Sivera;ALA;0;0;6;0;0;0;0;0;0;0;0
Sobrino;ALA;2;18;76;8;24;9;0;85;105;59;70
Stuani;GIR;0;5;72;32;14;8;0;97;142;119;141
Success;MGA;0;5;41;0;7;2;0;58;46;3;7
Sulley Muntari;DEP;4;11;13;10;7;2;0;16;19;10;8
Susaeta;ATH;0;18;142;11;29;13;0;128;150;10;24
Szymanowski;LEG;0;22;56;3;11;3;0;39;53;2;6
T. Pina;ALA;10;43;200;34;49;22;0;115;116;49;61
Tana;LPA;0;23;92;3;24;6;0;85;94;2;20
Tello;BET;0;16;108;3;24;8;0;94;83;5;5
Ter Stegen;BAR;0;4;284;26;0;1;0;2;2;3;0
Theo Hernández;RMA;2;16;68;17;15;6;1;58;62;10;3
Thomas;ATM;7;53;216;29;65;30;0;175;104;51;38
Timor;GIR;5;20;65;28;10;7;0;26;36;24;13
Tito L. R.;LEG;5;12;30;15;4;4;0;14;23;6;4
Toni Kroos;RMA;2;16;151;7;35;20;0;117;80;11;7
Toño;LEV;0;7;56;24;11;1;0;44;26;2;6
Toño Ramírez;RSO;0;0;19;3;0;0;0;0;1;1;0
Tytoń;DEP;0;0;4;0;0;0;0;0;0;0;0
Unai Núñez;ATH;27;66;172;152;52;21;1;110;76;74;43
Varane;RMA;10;33;144;107;19;9;1;48;31;50;28
Vermaelen;BAR;3;18;57;28;9;4;0;16;17;19;11
Vesga;ATH;3;8;65;14;8;9;0;34;58;22;20
Vezo;VAL;9;23;94;75;24;19;0;66;52;40;18
Vicente Gómez;LPA;4;18;64;13;13;8;0;56;70;33;25
Viera;LPA;0;11;101;1;25;11;0;168;131;9;20
Vietto ;VAL;0;5;39;7;10;3;0;35;53;4;8
Vigaray;ALA;1;14;48;10;16;11;0;43;35;6;7
Vitolo;ATM;4;12;78;6;18;6;0;108;89;11;21
Vrsaljko;ATM;8;36;68;55;30;18;0;70;67;45;21
Víctor López;ALA;0;1;4;1;1;1;0;2;3;0;1
Víctor Ruiz;VIL;18;57;159;131;22;11;0;44;41;59;42
Víctor S.;ESP;14;80;146;68;71;34;0;162;160;53;28
Wakaso;ALA;1;35;85;18;30;13;0;82;72;17;19
Wass;CEL;3;31;164;40;21;9;0;91;87;49;52
Williams;ATH;2;17;110;10;17;11;0;129;184;39;47
Willian José;RSO;2;5;77;31;7;3;0;78;107;52;62
Xabi Prieto;RSO;2;7;89;20;14;4;0;66;45;34;29
Ximo;LPA;16;67;203;124;43;20;1;147;68;32;30
Yeray;ATH;2;11;66;17;7;5;0;25;16;14;14
Yerry Mina ;BAR;3;6;13;16;8;2;0;16;7;11;8
Yoel;EIB;0;0;14;3;0;0;0;0;0;0;0
Zaldúa;LEG;5;62;122;79;52;16;0;159;105;48;24
Zdravko Kuzmanovic;MGA;2;5;36;9;4;0;0;8;21;6;5
Zurutuza;RSO;10;41;160;21;36;13;0;107;115;33;31
Álvaro ;VIL;23;53;132;182;26;12;0;64;53;64;52
Álvaro Jiménez;GET;0;1;27;3;8;7;0;53;56;5;12
Álvaro Medrán;ALA;0;16;70;10;15;6;0;53;61;7;9
Álvaro Odriozola;RSO;7;26;178;35;27;14;0;104;130;5;29
Ángel ;GET;3;6;62;13;19;9;0;84;128;31;115
Ángel Correa;ATM;1;25;168;15;29;12;0;159;241;6;31
