Nombre;Equipo;Bloq.;Inter.;Rec.;Desp.;Ent. E.;Ent. F.;U. H.;Due. E.;Due. F.;Aer. E.;Aer. F.
Bigas;LPA;11;17;53;39;9;5;0;29;21;12;8
Boateng;LEV;1;5;34;13;3;1;0;56;68;74;69
Bojan;ALA;0;3;23;0;1;1;0;28;14;0;7
Bonera;VIL;12;12;48;71;11;5;0;25;19;18;8
Borja Bastón;MGA;0;3;20;5;7;2;0;19;41;26;42
Borja G.;GIR;2;30;190;12;18;21;0;186;139;15;29
Borja H.;LPA;1;3;12;4;1;1;0;5;11;2;4
Borja Lasso;SEV;0;0;3;0;1;3;0;5;4;0;1
Borja Mayoral;RMA;0;0;15;0;3;3;0;18;16;4;2
Borja Valle;DEP;0;3;21;4;6;0;0;13;27;9;20
Bounou;GIR;0;4;246;25;1;0;0;2;3;4;2
Bruno;GET;3;31;59;106;18;7;0;35;31;40;30
Bruno Gama;DEP;0;0;2;2;1;0;0;7;13;0;1
Bueno;MGA;0;1;26;2;2;1;0;12;18;2;15
Burgui;ALA;0;7;55;1;5;5;0;49;42;3;8
Bustinza M.;LEG;9;47;86;63;21;15;0;54;43;41;45
Bóveda;DEP;7;30;56;45;27;9;0;43;41;25;25
Cabrera;GET;5;22;39;34;10;9;1;24;24;19;17
Calleri;LPA;2;7;84;34;16;8;0;121;177;113;140
Camarasa;BET;0;15;72;11;15;5;0;62;60;10;13
Campaña;LEV;10;45;210;33;36;21;1;122;116;32;37
Campbell;BET;0;0;8;0;2;4;0;28;19;0;3
Canales;RSO;0;11;116;3;25;6;0;104;101;2;13
Capa;EIB;2;52;114;42;38;19;0;100;96;28;13
Carles Gil;DEP;0;4;25;0;4;2;0;24;20;0;4
Carlos Fernández;SEV;0;0;3;0;1;1;0;3;7;2;3
Carlos Isaac;ATM;0;2;3;1;0;1;0;3;5;2;0
Carlos Martínez;RSO;0;0;0;0;0;0;0;1;2;1;0
Carlos Soler;VAL;1;5;135;16;32;19;0;118;152;9;16
Carlos Sánchez ;ESP;5;18;87;24;12;13;0;47;52;27;12
Carriço;SEV;3;10;35;20;7;0;1;7;10;12;11
Carvajal;RMA;15;38;155;34;40;19;0;123;94;19;28
Casemiro;RMA;11;63;243;45;78;31;1;187;138;64;39
Celso Borges ;DEP;7;34;176;34;39;22;0;86;93;118;76
Champagne;LEG;0;0;13;3;0;0;0;0;0;0;0
Charles;EIB;0;7;54;10;8;3;0;42;63;73;75
Cheik Doukouré;LEV;4;14;71;4;19;15;0;45;65;15;20
Chema;LEV;27;30;93;109;13;7;0;33;33;30;22
Chichizola;LPA;0;4;292;42;0;2;0;12;4;13;2
Chory Castro;MGA;3;23;162;10;24;13;0;93;97;21;19
Christian Santos;ALA;1;2;13;9;0;2;0;2;18;33;38
Chéryshev;VIL;1;13;50;8;15;12;0;57;73;12;16
Cifu;MGA;1;2;3;2;1;1;0;5;13;1;2
Clement Lenglet;SEV;27;36;164;150;50;17;0;101;78;71;44
Coke;LEV;5;34;91;43;23;12;0;65;79;24;21
Corchia;SEV;4;16;32;17;13;5;0;44;36;12;4
Correa;SEV;1;2;65;11;10;5;0;95;105;15;15
Cote;EIB;1;39;187;69;44;17;0;104;63;37;30
Coutinho;BAR;0;6;70;3;14;13;0;104;100;5;6
Cuéllar;LEG;0;3;336;32;3;1;2;7;1;16;4
D. Torres;ALA;7;19;88;31;11;8;0;43;49;10;14
Dakonam Djené;GET;14;78;245;183;65;22;1;142;84;71;53
Damián Suárez;GET;8;46;188;65;64;22;1;159;174;23;32
Dani Castellano;LPA;7;42;109;51;29;17;0;100;80;26;26
Dani Ceballos;RMA;0;5;27;1;7;1;0;33;32;0;1
Dani García;EIB;4;70;235;23;59;21;0;112;110;43;27
Dani Giménez;BET;0;0;20;2;0;0;0;1;0;2;0
Dani Parejo;VAL;10;35;300;23;57;30;0;199;165;17;21
Darder;ESP;5;53;187;42;43;21;0;129;115;16;21
Darko;LEG;3;14;87;11;17;15;0;62;64;19;20
David Alba;GET;0;0;3;7;1;0;0;1;3;1;2
David García;LPA;8;19;46;31;11;5;0;34;14;15;9
David Lombán;EIB;4;29;55;64;8;8;0;21;11;44;20
David López;ESP;26;69;239;156;49;18;1;95;80;65;55
David Simón;LPA;4;22;41;9;17;7;0;48;46;7;13
David Soria;SEV;0;2;118;26;0;1;1;2;0;5;1
De la Bella;RSO;5;21;74;42;22;14;0;61;45;25;16
De Marcos;ATH;2;19;86;31;21;7;0;49;50;21;17
Dembélé;BAR;0;5;37;2;7;3;0;68;87;1;6
Denis Suárez;BAR;0;2;30;2;9;2;0;42;43;2;2
Diego Costa;ATM;4;5;26;2;11;6;0;51;90;25;33
Diego González;MGA;10;19;49;65;19;8;0;31;38;34;28
Diego López;ESP;0;0;83;4;0;0;0;0;1;2;0
Diego Rolan;MGA;1;12;107;7;25;8;0;123;165;11;42
Diop;EIB;2;19;87;14;23;8;0;61;61;37;34
Diéguez;ALA;0;11;30;21;5;5;0;19;26;4;5
Dmitrović;EIB;0;2;337;44;4;0;1;12;9;15;1
Douglas Luiz;GIR;0;4;24;0;9;1;0;22;24;3;7
Duarte;ALA;10;44;110;67;40;36;0;118;88;28;24
Dídac;ESP;3;14;43;23;26;3;0;47;28;14;8
El Zhar;LEG;1;18;118;1;6;5;0;94;124;14;31
Eloi Amagat;GIR;0;0;0;0;0;0;0;0;1;0;0
Emiliano Martínez;GET;0;0;51;7;0;0;0;1;0;1;1
Emre Mor;CEL;1;4;44;2;7;7;0;80;56;1;3
Emre Çolak;DEP;1;7;110;4;19;5;0;80;93;2;16
Enes Ünal;VIL;4;6;39;16;11;4;0;56;123;59;75
Enis Bardhi;LEV;0;16;93;6;26;13;0;87;118;4;15
Eraso;LEG;5;23;125;11;15;17;0;66;125;13;48
Erick Cabaco;LEV;8;17;45;71;13;12;0;38;20;20;15
Erik Exposito;LPA;0;1;9;5;1;0;0;7;25;22;28
Escalante;EIB;3;32;110;18;35;24;0;89;63;47;39
Escudero;SEV;6;65;156;55;50;28;0;140;90;58;38
