Nombre;Equipo;Cen.;Cor.;Ent.;Due.;D.C.;D.A.;Pas.;P.C.;P.L.;P.H.;GxT;GxT F.A.;GxT D.A.;GxT Iz.;GxT Der.;GxT Cab.;GxT B.P.
Vezo;VAL;15;0;43;176;118;58;715;627;88;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Vicente Gómez;LPA;10;0;21;184;126;58;877;838;37;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Viera;LPA;24;41;36;328;299;29;1.477;1.380;76;21;2,1;0,0;0,0;0,0;0,0;0,0;0,0
Vietto ;VAL;7;0;13;100;88;12;274;264;9;1;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Vigaray;ALA;17;0;27;91;78;13;240;200;39;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Vitolo;ATM;9;1;24;229;197;32;644;628;16;0;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Vrsaljko;ATM;78;3;48;203;137;66;628;559;69;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Víctor López;ALA;4;1;2;6;5;1;13;10;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Víctor Ruiz;VIL;2;0;33;186;85;101;1.420;1.199;219;2;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Víctor S.;ESP;58;9;105;403;322;81;1.179;975;204;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Wakaso;ALA;17;4;43;190;154;36;421;331;89;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Wass;CEL;100;73;30;279;178;101;1.485;1.366;115;4;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Williams;ATH;63;0;28;399;313;86;680;654;22;4;3,1;0,0;0,0;0,0;0,0;0,0;0,0
Willian José;RSO;13;2;10;299;185;114;844;762;73;9;7,8;0,0;0,0;0,0;0,0;0,0;0,0
Xabi Prieto;RSO;55;12;18;174;111;63;994;958;35;1;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Ximo;LPA;11;0;63;277;215;62;1.335;1.155;179;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Yeray;ATH;1;0;12;69;41;28;456;371;85;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Yerry Mina ;BAR;0;0;10;42;23;19;243;223;20;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Yoel;EIB;0;0;0;0;0;0;39;1;38;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Zaldúa;LEG;78;0;68;336;264;72;857;720;137;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Zdravko Kuzmanovic;MGA;4;0;4;40;29;11;334;304;30;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Zurutuza;RSO;6;0;49;286;222;64;1.145;1.071;69;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Álvaro ;VIL;7;0;38;233;117;116;1.436;1.174;262;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Álvaro Jiménez;GET;17;0;15;126;109;17;127;117;9;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Álvaro Medrán;ALA;7;5;21;130;114;16;502;424;75;3;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Álvaro Odriozola;RSO;154;1;41;268;234;34;1.294;1.235;58;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ángel ;GET;20;0;28;358;212;146;369;342;24;3;5,6;0,0;0,0;0,0;0,0;0,0;0,0
Ángel Correa;ATM;30;3;41;437;400;37;850;791;49;10;5,6;0,0;0,0;0,0;0,0;0,0;0,0
