Nombre;Equipo;Cen.;Cor.;Ent.;Due.;D.C.;D.A.;Pas.;P.C.;P.L.;P.H.;GxT;GxT F.A.;GxT D.A.;GxT Iz.;GxT Der.;GxT Cab.;GxT B.P.
Camarasa;BET;4;2;20;145;122;23;630;583;46;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Campaña;LEV;51;74;57;307;238;69;1.569;1.428;137;4;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Campbell;BET;3;0;6;50;47;3;89;83;6;0;1,3;0,0;0,0;0,0;0,0;0,0;0,0
Canales;RSO;66;101;31;220;205;15;1.163;1.050;107;6;1,8;0,0;0,0;0,0;0,0;0,0;0,0
Capa;EIB;95;1;57;237;196;41;1.059;880;176;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Carles Gil;DEP;4;7;6;48;44;4;212;203;8;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Carlos Fernández;SEV;0;0;2;15;10;5;36;35;1;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Carlos Isaac;ATM;3;0;1;10;8;2;32;31;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Carlos Martínez;RSO;0;0;0;4;3;1;4;3;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Carlos Soler;VAL;51;4;51;295;270;25;942;876;62;4;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Carlos Sánchez ;ESP;1;0;25;138;99;39;581;505;76;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Carriço;SEV;0;0;7;40;17;23;249;212;37;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Carvajal;RMA;90;0;59;264;217;47;1.569;1.449;116;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Casemiro;RMA;7;0;109;428;325;103;1.747;1.541;203;3;4,5;0,0;0,0;0,0;0,0;0,0;0,0
Celso Borges ;DEP;18;0;61;373;179;194;1.211;1.084;126;1;1,3;0,0;0,0;0,0;0,0;0,0;0,0
Champagne;LEG;0;0;0;0;0;0;53;4;49;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Charles;EIB;7;0;11;253;105;148;413;403;10;0;4,6;0,0;0,0;0,0;0,0;0,0;0,0
Cheik Doukouré;LEV;4;0;34;145;110;35;314;297;16;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Chema;LEV;0;0;20;118;66;52;691;507;184;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Chichizola;LPA;0;0;2;31;16;15;961;442;519;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Chory Castro;MGA;108;33;37;230;190;40;822;722;98;2;2,8;0,0;0,0;0,0;0,0;0,0;0,0
Christian Santos;ALA;1;0;2;91;20;71;135;133;2;0;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Chéryshev;VIL;27;1;27;158;130;28;300;281;19;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Cifu;MGA;12;0;2;21;18;3;55;54;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Clement Lenglet;SEV;1;0;67;294;179;115;1.713;1.464;247;2;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Coke;LEV;36;0;35;189;144;45;560;488;72;0;3,0;0,0;0,0;0,0;0,0;0,0;0,0
Corchia;SEV;23;0;18;96;80;16;298;270;28;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Correa;SEV;7;2;15;230;200;30;460;433;25;2;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Cote;EIB;185;41;61;234;167;67;1.104;783;321;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Coutinho;BAR;14;52;27;215;204;11;813;777;26;10;3,8;0,0;0,0;0,0;0,0;0,0;0,0
Cuéllar;LEG;0;0;4;28;8;20;1.028;90;938;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
D. Torres;ALA;2;0;19;116;92;24;506;440;64;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dakonam Djené;GET;10;0;87;350;226;124;971;725;244;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Damián Suárez;GET;65;45;86;388;333;55;1.174;919;250;5;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Dani Castellano;LPA;39;0;46;232;180;52;841;777;64;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dani Ceballos;RMA;1;3;8;66;65;1;373;345;27;1;0,7;0,0;0,0;0,0;0,0;0,0;0,0
Dani García;EIB;12;1;80;292;222;70;1.614;1.327;287;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dani Giménez;BET;0;0;0;3;1;2;104;53;51;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dani Parejo;VAL;40;172;87;402;364;38;2.363;2.065;291;7;5,3;0,0;0,0;0,0;0,0;0,0;0,0
Darder;ESP;26;23;64;281;244;37;1.445;1.252;186;7;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Darko;LEG;8;2;32;165;126;39;403;375;27;1;1,5;0,0;0,0;0,0;0,0;0,0;0,0
David Alba;GET;0;0;1;7;4;3;9;7;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
David García;LPA;3;0;16;72;48;24;458;378;80;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
David Lombán;EIB;0;0;16;96;32;64;449;331;118;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
David López;ESP;3;0;67;295;175;120;1.914;1.554;359;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
David Simón;LPA;29;0;24;114;94;20;406;361;44;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
David Soria;SEV;0;0;1;8;2;6;307;121;186;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
De la Bella;RSO;68;0;36;147;106;41;818;731;86;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
De Marcos;ATH;58;0;28;137;99;38;709;624;83;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Dembélé;BAR;26;27;10;162;155;7;448;428;17;3;1,2;0,0;0,0;0,0;0,0;0,0;0,0
Denis Suárez;BAR;4;21;11;89;85;4;358;346;9;3;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Diego Costa;ATM;2;0;17;199;141;58;313;300;10;3;1,1;0,0;0,0;0,0;0,0;0,0;0,0
Diego González;MGA;7;0;27;131;69;62;481;396;84;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Diego López;ESP;0;0;0;3;1;2;231;49;182;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Diego Rolan;MGA;27;1;33;341;288;53;572;538;31;3;2,2;0,0;0,0;0,0;0,0;0,0;0,0
Diop;EIB;5;0;31;193;122;71;522;444;77;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Diéguez;ALA;1;0;10;54;45;9;139;108;31;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dmitrović;EIB;0;0;4;37;21;16;1.065;131;933;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Douglas Luiz;GIR;5;3;10;56;46;10;132;122;10;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Duarte;ALA;54;0;76;258;206;52;655;514;141;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dídac;ESP;22;2;29;97;75;22;341;292;49;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
El Zhar;LEG;58;12;11;263;218;45;565;539;26;0;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Eloi Amagat;GIR;1;0;0;1;1;0;8;7;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Emiliano Martínez;GET;0;0;0;3;1;2;140;5;135;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Emre Mor;CEL;32;14;14;140;136;4;248;231;16;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Emre Çolak;DEP;44;30;24;191;173;18;792;682;101;9;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Enes Ünal;VIL;5;0;15;313;179;134;420;414;4;2;3,7;0,0;0,0;0,0;0,0;0,0;0,0
Enis Bardhi;LEV;22;42;39;224;205;19;618;546;70;2;5,0;0,0;0,0;0,0;0,0;0,0;0,0
Eraso;LEG;37;47;32;252;191;61;786;728;55;3;2,8;0,0;0,0;0,0;0,0;0,0;0,0
Erick Cabaco;LEV;0;0;25;93;58;35;324;241;83;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Erik Exposito;LPA;3;0;1;82;32;50;89;87;2;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Escalante;EIB;10;0;59;238;152;86;656;574;81;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Escudero;SEV;40;1;78;326;230;96;1.323;1.184;137;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Etebo;LPA;3;2;24;188;160;28;628;561;65;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Etxeita;ATH;0;0;2;32;16;16;161;133;28;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Ezequiel Garay;VAL;3;0;18;125;55;70;1.093;945;147;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fabian Schär;DEP;1;0;59;252;169;83;944;704;236;4;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Fabián;BET;14;2;83;373;330;43;2.083;1.929;148;6;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Facundo Roncaglia;CEL;6;0;35;130;88;42;1.070;900;168;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fahad Al-Muwallad;LEV;0;0;0;4;4;0;9;9;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fajr ;GET;85;55;61;287;235;52;933;697;233;3;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Feddal;BET;3;0;22;113;68;45;812;634;178;0;3,0;0,0;0,0;0,0;0,0;0,0;0,0
Fede Cartabia;DEP;39;16;36;235;205;30;525;482;40;3;0,6;0,0;0,0;0,0;0,0;0,0;0,0
Fede Valverde;DEP;12;4;25;96;67;29;576;506;68;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fernando Navarro;DEP;12;0;32;115;82;33;442;375;67;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fernando Torres;ATM;2;0;11;198;106;92;241;226;13;2;3,0;0,0;0,0;0,0;0,0;0,0;0,0
Ferrán Torres;VAL;10;1;8;52;43;9;97;88;9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Filipe Luis;ATM;43;1;83;223;194;29;948;868;80;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Fontàs;CEL;0;0;13;56;32;24;722;618;103;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Francesc Regis;EIB;0;0;1;1;1;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Francis Coquelin;VAL;1;0;18;104;76;28;302;271;31;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Franco Vázquez;SEV;32;1;39;354;283;71;862;806;46;10;1,8;0,0;0,0;0,0;0,0;0,0;0,0
G. Cabral;CEL;0;0;29;169;73;96;1.278;1.112;166;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Gabi;ATM;18;29;80;286;249;37;1.721;1.515;202;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gabriel;LEG;14;0;89;569;368;201;1.169;1.028;135;6;2,6;0,0;0,0;0,0;0,0;0,0;0,0
Gabriel;VAL;1;0;47;192;99;93;1.365;1.201;163;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gabriel Mercado;SEV;23;0;55;217;139;78;956;842;113;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gaku Shibasaki;GET;19;15;21;146;109;37;328;293;31;4;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Gameiro;ATM;2;0;11;108;71;37;230;228;2;0;5,4;0,0;0,0;0,0;0,0;0,0;0,0
Ganso;SEV;2;4;15;67;55;12;341;326;13;2;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Gayá;VAL;94;0;77;314;261;53;1.353;1.208;143;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gerard;DEP;0;0;5;25;18;7;39;30;9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gerard;ESP;39;0;41;697;394;303;1.198;1.076;112;10;6,1;0,0;0,0;0,0;0,0;0,0;0,0
Giménez;ATM;2;0;38;179;90;89;736;567;169;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Godín;ATM;0;0;50;235;140;95;1.211;1.007;203;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gonçalo Guedes;VAL;49;6;38;375;349;26;892;825;58;9;2,3;0,0;0,0;0,0;0,0;0,0;0,0
Granell;GIR;110;90;78;399;350;49;1.672;1.349;320;3;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Granero;ESP;24;39;32;165;127;38;690;626;63;1;0,3;0,0;0,0;0,0;0,0;0,0;0,0
Griezmann;ATM;26;18;36;284;198;86;1.028;942;73;13;9,7;0,0;0,0;0,0;0,0;0,0;0,0
Guaita;GET;0;0;0;18;3;15;925;106;819;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Guardado;BET;56;43;41;257;220;37;1.461;1.301;148;12;0,7;0,0;0,0;0,0;0,0;0,0;0,0
Guidetti;ALA;13;1;7;178;97;81;385;361;20;4;3,0;0,0;0,0;0,0;0,0;0,0;0,0
