Nombre;Equipo;Am.;Roj.;Dob.;F. J.;Faltas R.;Faltas C.;Pen. R.;Pen. C.;Manos;FxT
Guillermo Maripán;ALA;4;0;0;0;4;15;0;0;0;8,0
Gumbau;LEG;8;0;0;1;6;40;0;0;0;19,0
Gálvez;LPA;6;1;0;5;20;36;0;2;0;15,0
H.Moreno;RSO;1;0;0;1;13;9;0;0;0;2,0
Halilović;LPA;1;1;0;1;25;9;1;0;1;2,0
Hermoso;ESP;5;0;1;1;15;19;0;0;0;8,0
Hernán;LPA;1;0;0;0;7;9;0;0;0;2,0
Hernán Pérez;ALA;3;0;0;3;7;13;0;0;1;5,0
Hernán Toledo;LPA;2;0;0;3;10;8;1;0;0;4,0
Hugo Mallo;CEL;12;0;0;5;27;48;0;0;1;23,0
Héctor;ALA;0;0;0;0;0;0;0;0;0;0,0
I. Martínez;ATH;5;0;0;3;35;30;0;1;0;7,0
Iago Aspas;CEL;9;0;0;11;62;23;1;0;2;9,0
Iago Herrerín;ATH;0;0;0;0;2;2;0;2;0;0,0
Ibai;ALA;1;0;0;8;19;17;0;0;1;1,0
Ideye;MGA;2;0;0;8;14;12;0;0;2;3,0
Igor Zubeldia;RSO;3;0;0;1;15;19;0;0;0;5,0
Illarramendi;RSO;8;0;1;0;67;34;0;0;2;15,0
Imoh Ezekiel;LPA;0;0;0;2;7;6;0;0;0;0,0
Iniesta;BAR;1;0;0;0;40;15;0;0;0;1,0
Inui;EIB;4;0;0;5;49;40;0;0;4;10,0
Iraizoz;GIR;1;0;0;0;0;0;0;0;0;0,0
Isco;RMA;1;0;0;6;59;19;0;0;2;1,0
Iturra;MGA;6;0;0;0;21;43;0;0;0;17,0
Iturraspe;ATH;7;0;0;0;22;29;0;1;1;12,0
Ivi;LEV;3;0;0;4;20;40;1;0;1;10,0
Iván Alejo;EIB;5;0;0;3;45;25;0;0;0;8,0
Iván López;LEV;0;0;0;0;0;0;0;0;0;0,0
Iñigo Lekue;ATH;3;0;0;1;12;25;0;1;1;6,0
J. Costa;VIL;13;0;1;0;37;54;1;3;3;30,0
J. Naranjo;LEG;2;0;0;2;3;12;0;0;0;4,0
J. Ontiveros;MGA;4;0;0;0;6;8;0;0;0;6,0
Jaime Sierra;LEG;0;0;0;0;0;1;0;0;0;0,0
Jairo;LPA;1;0;0;3;7;11;0;0;0;3,0
Jason;LEV;2;0;0;5;29;31;0;0;3;4,0
Jasper Cillessen;BAR;0;0;0;0;0;0;0;0;0;0,0
Jaume;VAL;2;0;0;0;1;0;0;0;0;0,0
Javi Castellano;LPA;4;0;0;0;26;14;0;1;2;5,0
Javi Fuego;VIL;8;0;0;0;34;37;0;1;1;20,0
Javi García;BET;6;0;0;1;33;33;0;0;2;11,0
