Nombre;Equipo;Min.;Jug.;%;Ent.;%;Tit.;%;Sust.;%;Am.;Roj.;Dob.;Gol;Pen.;G.P.P.;Enc.
Ronaldo;RMA;2292002.292;27;71%;19;50%;27;71%;8;21%;1;0;0;26;3;0;29
Roque Mesa;SEV;34200342;7;18%;2;5%;4;11%;5;13%;2;0;0;0;0;0;8
Rubén;DEP;2477002.477;28;74%;27;71%;27;71%;1;3%;3;0;0;0;0;0;58
Rubén Blanco;CEL;1942001.942;22;58%;21;55%;23;61%;1;3%;3;1;0;0;0;0;31
Rubén Castro;BET;35400354;10;26%;1;3%;3;8%;9;24%;0;0;0;1;1;0;8
Rubén Pardo;RSO;22200222;6;16%;0;0%;3;8%;6;16%;0;1;0;0;0;0;5
Rubén Peña;EIB;1727001.727;28;74%;12;32%;18;47%;16;42%;1;0;0;1;0;0;23
Rubén Pérez J.;LEG;2520002.520;31;82%;23;61%;29;76%;8;21%;13;0;0;0;0;0;30
Rukavina;VIL;1269001.269;17;45%;13;34%;14;37%;4;11%;5;0;0;0;0;0;17
Rulli;RSO;2340002.340;26;68%;26;68%;26;68%;0;0%;3;0;0;0;0;0;45
Ryad Boudebouz;BET;1361001.361;27;71%;3;8%;15;39%;24;63%;2;0;0;2;0;0;22
Róber;LEV;1904001.904;25;66%;18;47%;19;50%;7;18%;4;0;0;0;0;1;34
Rúben Semedo;VIL;23100231;4;11%;2;5%;3;8%;2;5%;0;0;0;0;0;0;7
S. Asenjo ;VIL;2070002.070;23;61%;23;61%;23;61%;0;0%;3;0;0;0;0;0;30
S. Castillejo;VIL;2083002.083;30;79%;10;26%;25;66%;20;53%;4;0;0;6;0;0;27
S. García;ESP;1629001.629;33;87%;10;26%;15;39%;23;61%;4;0;0;2;0;0;15
S. Sánchez;ESP;10200102;2;5%;0;0%;1;3%;2;5%;1;0;0;0;0;0;1
Sabin Merino;ATH;37100371;13;34%;0;0%;4;11%;13;34%;1;0;0;0;0;0;7
Saborit;ATH;1429001.429;19;50%;12;32%;16;42%;7;18%;5;0;0;0;0;0;15
Sadiku;LEV;26700267;6;16%;0;0%;4;11%;6;16%;1;0;0;0;0;0;5
Salem;VIL;330033;1;3%;0;0%;0;0%;1;3%;1;0;0;0;0;0;0
Samuel;MGA;35800358;18;47%;0;0%;4;11%;18;47%;2;1;0;0;0;0;8
Samuel Umtiti;BAR;2189002.189;25;66%;23;61%;24;63%;2;5%;7;0;0;1;0;0;17
San José;ATH;2156002.156;26;68%;20;53%;24;63%;6;16%;5;0;0;1;0;2;36
